city,city_ascii,lat,lng
Malang,Malang,-7.98,112.62
Stuttgart,Stuttgart,48.7775,9.18
Daqing,Daqing,46.589,125.104
Rome,Rome,41.8933,12.4828
Brooklyn,Brooklyn,40.6501,-73.9496
Kaohsiung,Kaohsiung,22.615,120.2975
Xiangtan,Xiangtan,27.8313,112.9454
Longyan,Longyan,25.076,117.017
Baotou,Baotou,40.6213,109.9532
Handan,Handan,36.601,114.487
Jinzhou,Jinzhou,41.129,121.148
Kanpur,Kanpur,26.4499,80.3319
Denver,Denver,39.762,-104.8758
Nanping,Nanping,26.6418,118.1774
Gāzipura,Gazipura,23.9889,90.375
Shanwei,Shanwei,22.7872,115.3756
Chaozhou,Chaozhou,23.658,116.622
Guayaquil,Guayaquil,-2.19,-79.8875
Weifang,Weifang,36.708,119.162
Huai’an,Huai'an,33.551,119.113
Zibo,Zibo,36.8138,118.055
Ankang,Ankang,32.6854,109.029
Mogadishu,Mogadishu,2.0392,45.3419
Munich,Munich,48.1375,11.575
Gulou,Gulou,26.0865,119.298
Taipei,Taipei,25.0375,121.5625
Bekasi,Bekasi,-6.2349,106.9923
Damascus,Damascus,33.5131,36.2919
Sanming,Sanming,26.2634,117.6389
Yangjiang,Yangjiang,21.857,111.983
Jiamusi,Jiamusi,46.8,130.319
Luohe,Luohe,33.583,114.0109
Medellín,Medellin,6.2308,-75.5906
Dingxi,Dingxi,35.608,104.592
Shaoxing,Shaoxing,30.0511,120.5833
Yantai,Yantai,37.4646,121.4478
Huizhou,Huizhou,23.112,114.416
Lishui,Lishui,28.468,119.923
Xuanzhou,Xuanzhou,30.939,118.759
Khowrhesht,Khowrhesht,36.205,49.6872
Mirzāpur,Mirzapur,25.146,82.569
Zigong,Zigong,29.339,104.779
Hamburg,Hamburg,53.55,10
Guangyuan,Guangyuan,32.436,105.844
Cali,Cali,3.4206,-76.5222
Huangshi,Huangshi,30.2011,115.039
Xining,Xining,36.6224,101.7804
Lusaka,Lusaka,-15.4167,28.2833
Ouagadougou,Ouagadougou,12.3686,-1.5275
Yaoundé,Yaounde,3.8667,11.5167
Zhuhai,Zhuhai,22.2716,113.5769
Huludao,Huludao,40.711,120.837
Baoshan,Baoshan,25.112,99.161
Mecca,Mecca,21.4225,39.8233
Vancouver,Vancouver,49.25,-123.1
Lianshan,Lianshan,40.7523,120.828
Beirut,Beirut,33.8983,35.5057
Salvador,Salvador,-12.9747,-38.4767
Bucharest,Bucharest,44.4325,26.1039
